trap	Sum_Length
252	3.835320148
253	5.410112508
254	3.964458358
255	12.39592814
256	3.064288312
257	10.67515676
258	3.896979954
259	7.210164751
260	8.696046583
261	7.316117559
262	9.153624481
263	9.955989449
264	19.41080087
265	1.324436668
266	10.07596795
267	6.706117453
268	7.259625205
269	3.393156285
270	5.468201134
271	2.954445811
272	6.248041411
273	6.004303413
274	8.393746147
275	4.53557557
276	5.677954493
277	7.893111381
278	3.422495612
279	2.472867659
280	1.35470534
281	3.312327377
282	5.179118387
283	10.53449765
284	5.288788512
285	14.28490314
286	6.620033893
287	11.6772328
288	0.353382322
289	1.733980757
290	5.120221605
291	0.261306422
292	7.60529591
293	7.516776079
294	8.986590612
295	12.73865898
296	10.84008173
297	12.57515298
298	6.851634073
299	3.594726195
300	0.495346885
301	0.220934395
302	6.68876694
303	6.192391258
304	18.23445096
305	4.908944071
306	6.010429565
307	11.68180453
308	8.284572955
309	3.463816518
310	15.07966737
311	3.092037092
312	6.685768185
313	7.664046433
314	5.40514694
315	6.240483542
316	0.753840105
317	4.31780455
318	3.224617132
319	9.698136672
320	2.813587069
321	3.591456434
322	0.450738026
323	9.904235352
324	10.00719719
325	7.479736648
326	2.270053689
327	13.53622612
328	2.688461756
329	4.230280819
330	0.950413917
331	9.428195199
332	7.068243103
333	8.480273578
334	13.7176069
335	7.1867351
336	0.222192478
337	2.867571017
338	18.65613571
339	5.633945169
340	13.35675905
341	5.842991473
342	5.703224372
343	10.18940666
344	5.853279925
345	0.928570613
346	2.578488817
347	3.579256885
348	7.734454942
349	6.625715129
350	4.802378107
351	7.332187234
352	9.469230774
353	8.198879458
354	3.689777156
355	0.373162855
356	15.04994356
357	13.05644781
358	10.60366994
359	0.279185636
360	5.244105962
361	8.71533158
362	6.144685073
363	13.39872608
364	7.704417287
365	9.276224159
366	7.378923804
367	11.59364038
368	6.074215622
369	15.5411728
370	4.607010436
371	4.732852721
372	2.332207526
373	4.336327213
374	3.469540037
375	10.67273679
376	7.04284463
377	9.867940135
378	12.91473247
379	8.495264715
380	10.15495133
381	4.973006289
382	12.70529138
383	2.587911545
384	9.561770178
385	7.914535924
386	9.325133762
387	13.62593242
388	4.28422509
389	8.046982579
390	6.662929318
391	4.087717849
392	9.224520352
393	14.08671375
394	9.737337077
395	11.28500043
396	14.36576254
397	3.133955381
398	1.407757252
399	4.217758478
400	11.03154827
401	9.451417087
402	11.7287342
403	16.75318988
404	19.81131694
405	13.59944455
406	12.1250371
407	9.852486072
408	10.77319606
409	6.646532997
410	4.771515849
411	9.688089333
412	15.10396005
413	12.52772272
414	3.650322723
415	10.19428948
416	3.587525448
417	5.110693708
418	19.2397599
419	0.657336306
420	9.724779581
421	9.084367049
422	2.197580489
423	9.395617319
424	4.083974525
425	7.492804813
426	14.71147148
427	9.245060214
428	8.01416363
429	7.530097282
430	5.16531739
431	14.2331882
432	19.71975835
433	0.136937436
434	5.862274725
435	10.88788564
436	2.656024276
437	9.542741959
438	2.135442504
439	7.065308218
440	7.941932898
441	0.401181398
442	8.346647069
443	9.004203177
444	1.948027356
445	1.77140628
446	8.767542455
447	12.458192
448	12.27746983
449	0.307595728
450	10.85563547
451	5.961867257
452	12.29270073
453	8.592277543
454	11.16621075
455	2.120547833
456	4.305047571
457	0.540737209
458	4.077132728
459	10.76151004
460	7.059845155
461	17.51156596
462	26.69664884
463	2.947682816
464	11.28677916
465	8.222476679
466	14.29344151
467	13.40499916
468	3.243029109
469	0.412826759
